City Council,12/4/2012,6:30 PM,City Hall,agenda.php?mtg=121204,--,http://www.youtube.com/watch?v=BKNoNjzwZTE&feature=youtu.be
Public Works,12/4/2012,1:00 PM,City Hall,agendas/121204pw/agenda.pdf,--,
Trail Board,11/27/2012,7:00 PM,--,--,--,
Council Worksession,11/20/2012,after Council,City Hall,--,agendas/121204/7d.pdf,http://www.youtube.com/watch?v=nfmQeEgQJQE&feature=plcp
City Council,11/20/2012,6:30 PM,City Hall,agenda.php?mtg=121120,agendas/121204/7c.pdf,http://www.youtube.com/watch?v=nfmQeEgQJQE&feature=plcp
EDA,11/14/2012,7:00 AM,City Hall,--,--,
Planning Commission,11/13/2012,6:30 PM,City Hall,agendas/121113/agenda.pdf,--,http://www.youtube.com/watch?v=cDnsBqswAk0&feature=youtu.be
Library Board,11/13/2012,6:00 PM,City Hall,agendas/121113lib/packet.pdf,--,
Council Worksession,11/8/2012,--,City Hall,--,--,http://www.youtube.com/watch?v=QQ29CSQR_mQ&feature=plcp
City Council,11/8/2012,6:30 PM,City Hall,agenda.php?mtg=121108,agendas/121120/6b.pdf,http://www.youtube.com/watch?v=375aQz3Cdak&feature=plcp
Public Works,11/8/2012,1:00 PM,City Hall,agendas/121108pw/agenda.pdf,--,
Trail Board,10/23/2012,7:00 PM,--,--,--,
Police Commission,10/16/2012,after Council,City Hall,--,--,
City Council,10/16/2012,6:30 PM,City Hall,agenda.php?mtg=121016,agendas/121108/7b.pdf,
Cable Commission,10/10/2012,5:30 PM,City Hall,--,--,
EDA,10/10/2012,7:00 AM,City Hall,--,--,
Planning Commission,10/8/2012,6:30 PM,City Hall,--,--,
Library Board,10/8/2012,6:00 PM,City Hall,agendas/121008/agenda.pdf,agendas/121113lib/minutes.pdf,
City Council,10/2/2012,6:30 PM,City Hall,agenda.php?mtg=121002,agendas/121016/6b.pdf,http://www.youtube.com/watch?v=YudzZtDQlSs&feature=plcp
Public Works,10/2/2012,1:00 PM,City Hall,--,--,
Trail Board,9/25/2012,7:00 PM,--,--,--,
City Council,9/18/2012,6:30 PM,City Hall,--,agendas/121002/6b.pdf,
Cable Commission,9/12/2012,5:30 PM,City Hall,agendas/120912cable/agenda.pdf,--,
EDA,9/12/2012,7:00 AM,City Hall,--,--,
